,name,age,from_team,to_team,avg_salary,year_fa,IDfg,first_played,last_played,pos_1B,pos_2B,pos_3B,pos_C,pos_DH,pos_SS
146,Daniel Descalso,32.1,ARI,CHC,2500000.0,2019,8392,2010.0,2019.0,0,1,0,0,0,0
147,Daniel Descalso,28.1,STL,COL,1800000.0,2015,8392,2010.0,2019.0,0,1,0,0,0,0
148,Daniel Murphy,33.7,CHC,COL,12000000.0,2019,4316,2008.0,2020.0,1,0,0,0,0,0
149,Daniel Murphy,30.7,NYM,WSH,12500000.0,2016,4316,2008.0,2020.0,1,0,0,0,0,0
150,Daniel Nava,32.8,TB,LAA,1375000.0,2016,5450,2010.0,2017.0,0,0,0,0,0,0
151,Daniel Robertson,26.8,SF,MIL,900000.0,2021,14145,2017.0,2021.0,0,0,0,0,0,1
152,Danny Espinosa,30.2,LAA,SEA,535000.0,2017,9219,2010.0,2017.0,0,0,0,0,0,1
153,David Dahl,26.7,COL,TEX,2700000.0,2021,13744,2016.0,2021.0,0,0,0,0,0,0
154,David DeJesus,31.9,OAK,CHC,5000000.0,2012,1825,2003.0,2015.0,0,0,0,0,0,0
155,David Freese,32.8,LAA,PIT,3000000.0,2016,9549,2009.0,2019.0,1,0,0,0,0,0
156,David Murphy,34.4,BOS,MIN,1150000.0,2016,6035,2006.0,2015.0,0,0,0,0,1,0
157,David Murphy,32.1,TEX,CLE,6000000.0,2014,6035,2006.0,2015.0,0,0,0,0,1,0
158,David Ortiz,36.9,BOS,BOS,14500000.0,2013,745,1997.0,2016.0,0,0,0,0,1,0
159,David Ross,35.6,ATL,BOS,3100000.0,2013,1551,2002.0,2016.0,0,0,0,1,0,0
160,David Ross,37.8,BOS,CHC,2500000.0,2015,1551,2002.0,2016.0,0,0,0,1,0,0
161,Delmon Young,28.2,TB,BAL,1000000.0,2014,2140,2006.0,2015.0,0,0,0,0,0,0
162,Delmon Young,29.2,BAL,BAL,2250000.0,2015,2140,2006.0,2015.0,0,0,0,0,0,0
163,Delmon Young,27.3,DET,PHI,750000.0,2013,2140,2006.0,2015.0,0,0,0,0,0,0
164,Denard Span,31.8,WSH,SF,10333333.0,2016,8347,2008.0,2018.0,0,0,0,0,0,0
165,Derek Norris,28.1,WSH,TB,1200000.0,2017,6867,2012.0,2017.0,0,0,0,1,0,0
166,Dexter Fowler,30.7,CHC,STL,16500000.0,2017,4062,2008.0,2021.0,0,0,0,0,0,0
167,Dexter Fowler,29.9,CHC,CHC,13000000.0,2016,4062,2008.0,2021.0,0,0,0,0,0,0
168,Didi Gregorius,30.9,PHI,PHI,14000000.0,2021,6012,2012.0,2021.0,0,0,0,0,0,1
169,Didi Gregorius,29.8,NYY,PHI,14000000.0,2020,6012,2012.0,2021.0,0,0,0,0,0,1
170,Dioner Navarro,28.8,CIN,CHC,1750000.0,2013,3179,2004.0,2016.0,0,0,0,1,0,0
171,Dioner Navarro,29.8,CHC,TOR,4000000.0,2014,3179,2004.0,2016.0,0,0,0,1,0,0
172,Dioner Navarro,31.8,TOR,CHW,4000000.0,2016,3179,2004.0,2016.0,0,0,0,1,0,0
173,Dioner Navarro,27.9,LAD,CIN,800000.0,2012,3179,2004.0,2016.0,0,0,0,1,0,0
174,Domingo Santana,27.5,SEA,CLE,1500000.0,2020,10348,2014.0,2020.0,0,0,0,0,0,0
175,Don Kelly,32.9,DET,DET,900000.0,2013,2216,2007.0,2016.0,0,0,0,0,0,0
