,name,position,age,from_team,to_tam,contract_length,total_salary,avg_salary,year,spotracID,spotracLink
54,Joel Pineiro,SP,33.2,LAA,PHI,1,1500000,1500000,2012,794,https://www.spotrac.com/redirect/player/794/
55,Vincent Padilla,RP,34.2,LAD,BOS,1,1500000,1500000,2012,5393,https://www.spotrac.com/redirect/player/5393/
56,Aaron Cook,SP,32.9,COL,BOS,1,1500000,1500000,2012,252,https://www.spotrac.com/redirect/player/252/
57,Endy Chavez,LF,33.8,TEX,BAL,1,1500000,1500000,2012,546,https://www.spotrac.com/redirect/player/546/
58,Todd Coffey,RP,31.3,WSH,LAD,1,1300000,1300000,2012,206,https://www.spotrac.com/redirect/player/206/
59,Austin Kearns,LF,31.6,CLE,MIA,1,1300000,1300000,2012,941,https://www.spotrac.com/redirect/player/941/
60,Johnny Damon,LF,38.4,TB,CLE,1,1250000,1250000,2012,578,https://www.spotrac.com/redirect/player/578/
61,Rick Ankiel,CF,32.5,WSH,WSH,1,1250000,1250000,2012,772,https://www.spotrac.com/redirect/player/772/
62,Jim Thome,DH,41.2,CLE,PHI,1,1250000,1250000,2012,192,https://www.spotrac.com/redirect/player/192/
63,Henry Blanco,C,40.2,ARI,ARI,1,1200000,1200000,2012,133,https://www.spotrac.com/redirect/player/133/
64,Ronny Cedeno,SS,28.9,PIT,NYM,1,1150000,1150000,2012,134,https://www.spotrac.com/redirect/player/134/
65,Reed Johnson,LF,35.0,CHC,CHC,1,1150000,1150000,2012,5201,https://www.spotrac.com/redirect/player/5201/
66,Raul Ibanez,DH,39.7,PHI,NYY,1,1100000,1100000,2012,757,https://www.spotrac.com/redirect/player/757/
67,Scott Hairston,RF,31.6,NYM,NYM,1,1100000,1100000,2012,672,https://www.spotrac.com/redirect/player/672/
68,Ronny Paulino,C,30.8,NYM,BAL,1,1000000,1000000,2012,710,https://www.spotrac.com/redirect/player/710/
69,Jonny Gomes,LF,31.1,WSH,OAK,1,1000000,1000000,2012,7025,https://www.spotrac.com/redirect/player/7025/
70,Jack Wilson,2B,34.0,ATL,ATL,1,1000000,1000000,2012,714,https://www.spotrac.com/redirect/player/714/
71,Kevin Kouzmanoff,3B,30.4,NYM,KC,1,1000000,1000000,2012,678,https://www.spotrac.com/redirect/player/678/
72,Guillermo Mota,RP,38.3,SF,SF,1,1000000,1000000,2012,503,https://www.spotrac.com/redirect/player/503/
73,Felix Pie,CF,26.8,BAL,CLE,1,1000000,1000000,2012,156,https://www.spotrac.com/redirect/player/156/
74,Tim Byrdak,RP,37.8,NYM,NYM,1,1000000,1000000,2012,5255,https://www.spotrac.com/redirect/player/5255/
75,Luis Ayala,RP,34.0,NYY,BAL,1,925000,925000,2012,920,https://www.spotrac.com/redirect/player/920/
76,Hideki Matsui,DH,37.8,OAK,TB,1,900000,900000,2012,589,https://www.spotrac.com/redirect/player/589/
77,Zach Duke,RP,28.9,ARI,WSH,1,900000,900000,2012,695,https://www.spotrac.com/redirect/player/695/
78,Chris Young,RP,32.8,NYM,NYM,1,900000,900000,2012,689,https://www.spotrac.com/redirect/player/689/
79,Eric Chavez,3B,34.2,NYY,NYY,1,900000,900000,2012,609,https://www.spotrac.com/redirect/player/609/
80,Dan Johnson,1B,32.5,TB,CHW,1,900000,900000,2012,623,https://www.spotrac.com/redirect/player/623/
81,Jamey Wright,RP,37.1,SEA,LAD,1,900000,900000,2012,875,https://www.spotrac.com/redirect/player/875/
82,Dan Wheeler,RP,34.1,BOS,CLE,1,900000,900000,2012,841,https://www.spotrac.com/redirect/player/841/
83,Fred Lewis,LF,31.1,CIN,CLE,1,900000,900000,2012,727,https://www.spotrac.com/redirect/player/727/
84,Scott Linebrink,RP,35.5,ATL,STL,1,850000,850000,2012,181,https://www.spotrac.com/redirect/player/181/
85,Juan Pierre,LF,34.4,CHW,PHI,1,800000,800000,2012,479,https://www.spotrac.com/redirect/player/479/
86,Willie Harris,LF,33.6,NYM,CIN,1,800000,800000,2012,940,https://www.spotrac.com/redirect/player/940/
87,Dioner Navarro,C,27.9,LAD,CIN,1,800000,800000,2012,858,https://www.spotrac.com/redirect/player/858/
88,Mark Derosa,3B,36.8,SF,WSH,1,800000,800000,2012,137,https://www.spotrac.com/redirect/player/137/
89,Jose Lopez,3B,28.0,MIA,CLE,1,800000,800000,2012,760,https://www.spotrac.com/redirect/player/760/
90,Dave Bush,SP,32.1,TEX,PHI,1,800000,800000,2012,486,https://www.spotrac.com/redirect/player/486/
91,Adam Kennedy,2B,35.8,SEA,LAD,1,800000,800000,2012,784,https://www.spotrac.com/redirect/player/784/
92,Brian Schneider,C,34.9,PHI,PHI,1,800000,800000,2012,562,https://www.spotrac.com/redirect/player/562/
93,Chris Snyder,C,30.9,PIT,HOU,1,750000,750000,2012,127,https://www.spotrac.com/redirect/player/127/
94,Miguel Batista,SP,40.8,NYM,NYM,1,750000,750000,2012,746,https://www.spotrac.com/redirect/player/746/
95,Jared Burton,RP,29.6,CIN,MIN,1,750000,750000,2012,203,https://www.spotrac.com/redirect/player/203/
96,Xavier Nady,1B,33.3,ARI,WSH,1,700000,700000,2012,708,https://www.spotrac.com/redirect/player/708/
97,Jason Isringhausen,RP,39.5,NYM,LAA,1,650000,650000,2012,781,https://www.spotrac.com/redirect/player/781/
98,Bill Hall,3B,32.1,SF,NYY,1,600000,600000,2012,497,https://www.spotrac.com/redirect/player/497/
99,Brad Penny,SP,34.1,DET,SF,1,500000,500000,2012,478,https://www.spotrac.com/redirect/player/478/
100,David Aardsma,RP,30.1,SEA,NYY,1,500000,500000,2012,79,https://www.spotrac.com/redirect/player/79/
101,Andrew Brackman,RP,26.0,NYY,CIN,1,500000,500000,2012,573,https://www.spotrac.com/redirect/player/573/
102,Brandon Inge,3B,34.9,DET,OAK,1,414066,414066,2012,292,https://www.spotrac.com/redirect/player/292/
103,Bobby Abreu,LF,38.1,LAA,LAD,1,401311,401311,2012,570,https://www.spotrac.com/redirect/player/570/
104,Jon Garland,SP,32.3,LAD,CLE,1,,,2012,435,https://www.spotrac.com/redirect/player/435/
105,Russell Branyan,1B,36.1,LAA,NYY,1,,,2012,5367,https://www.spotrac.com/redirect/player/5367/
106,Joe Beimel,RP,34.8,PIT,TEX,1,,,2012,458,https://www.spotrac.com/redirect/player/458/
107,Alex Cora,2B,38.2,WSH,STL,1,,,2012,87,https://www.spotrac.com/redirect/player/87/
108,Corey Patterson,RF,32.4,STL,MIL,1,,,2012,7352,https://www.spotrac.com/redirect/player/7352/
109,Trever Miller,RP,38.7,TOR,BAL,1,,,2012,835,https://www.spotrac.com/redirect/player/835/
110,Doug Slaten,RP,31.9,WSH,PIT,1,,,2012,126,https://www.spotrac.com/redirect/player/126/
111,Koyie Hill,C,32.8,CHC,STL,1,,,2012,5198,https://www.spotrac.com/redirect/player/5198/
112,Wil Nieves,C,34.2,MIL,COL,1,,,2012,5414,https://www.spotrac.com/redirect/player/5414/
113,Hideki Okajima,RP,35.9,BOS,NYY,1,,,2012,99,https://www.spotrac.com/redirect/player/99/
114,Conor Jackson,1B,28.8,BOS,TEX,1,,,2012,113,https://www.spotrac.com/redirect/player/113/
115,Hiroki Kuroda,SP,35.8,LAD,NYY,-,,,2012,472,https://www.spotrac.com/redirect/player/472/
116,Zack Greinke,SP,29.1,LAA,LAD,6,147000000,24500000,2013,407,https://www.spotrac.com/redirect/player/407/
117,Josh Hamilton,LF,31.5,TEX,LAA,5,125000000,25000000,2013,887,https://www.spotrac.com/redirect/player/887/
118,Anibal Sanchez,SP,28.8,DET,DET,5,80000000,16000000,2013,339,https://www.spotrac.com/redirect/player/339/
119,Melvin Upton,LF,28.2,TB,ATL,5,72500000,14500000,2013,854,https://www.spotrac.com/redirect/player/854/
120,Nick Swisher,OF,32.0,NYY,CLE,4,56000000,14000000,2013,191,https://www.spotrac.com/redirect/player/191/
121,Edwin Jackson,SP,29.2,WSH,CHC,4,52000000,13000000,2013,834,https://www.spotrac.com/redirect/player/834/
122,Michael Bourn,CF,30.1,ATL,CLE,4,48000000,12000000,2013,371,https://www.spotrac.com/redirect/player/371/
123,Angel Pagan,LF,31.4,SF,SF,4,40000000,10000000,2013,556,https://www.spotrac.com/redirect/player/556/
124,Shane Victorino,RF,32.0,LAD,BOS,3,39000000,13000000,2013,656,https://www.spotrac.com/redirect/player/656/
125,Kyle Lohse,SP,34.4,STL,MIL,3,33000000,11000000,2013,787,https://www.spotrac.com/redirect/player/787/
126,David Ortiz,DH,36.9,BOS,BOS,2,29000000,14500000,2013,100,https://www.spotrac.com/redirect/player/100/
127,Rafael Soriano,RP,33.0,NYY,WSH,2,28000000,14000000,2013,40,https://www.spotrac.com/redirect/player/40/
128,Ryan Dempster,SP,35.6,TEX,BOS,2,26500000,13250000,2013,136,https://www.spotrac.com/redirect/player/136/
129,Cody Ross,RF,32.0,BOS,ARI,3,26000000,8666667,2013,338,https://www.spotrac.com/redirect/player/338/
130,Torii Hunter,RF,37.2,LAA,DET,2,26000000,13000000,2013,437,https://www.spotrac.com/redirect/player/437/
131,Jeremy Guthrie,SP,33.6,KC,KC,3,25000000,8333333,2013,56,https://www.spotrac.com/redirect/player/56/
132,Adam LaRoche,DH,33.2,WSH,WSH,2,24000000,12000000,2013,700,https://www.spotrac.com/redirect/player/700/
133,Jonathan Broxton,RP,28.4,CIN,CIN,3,21000000,7000000,2013,461,https://www.spotrac.com/redirect/player/461/
134,Marco Scutaro,2B,37.1,SF,SF,3,20000000,6666667,2013,912,https://www.spotrac.com/redirect/player/912/
135,Jeremy Affeldt,RP,33.4,SF,SF,3,18000000,6000000,2013,197,https://www.spotrac.com/redirect/player/197/
136,Russell Martin,C,29.8,NYY,PIT,2,17000000,8500000,2013,477,https://www.spotrac.com/redirect/player/477/
137,Melky Cabrera,LF,28.2,SF,TOR,2,16000000,8000000,2013,575,https://www.spotrac.com/redirect/player/575/
138,Brandon McCarthy,SP,29.4,OAK,ARI,2,15500000,7750000,2013,890,https://www.spotrac.com/redirect/player/890/
139,Ryan Ludwick,LF,34.3,CIN,CIN,2,15000000,7500000,2013,789,https://www.spotrac.com/redirect/player/789/
140,Joe Blanton,RP,31.9,LAD,LAA,2,15000000,7500000,2013,602,https://www.spotrac.com/redirect/player/602/
141,Hiroki Kuroda,SP,37.8,NYY,NYY,1,15000000,15000000,2013,472,https://www.spotrac.com/redirect/player/472/
142,Hisashi Iwakuma,SP,31.5,SEA,SEA,2,14000000,7000000,2013,8737,https://www.spotrac.com/redirect/player/8737/
143,Ichiro Suzuki,LF,39.1,NYY,NYY,2,13000000,6500000,2013,768,https://www.spotrac.com/redirect/player/768/
144,Dan Haren,SP,32.2,LAA,WSH,1,13000000,13000000,2013,7,https://www.spotrac.com/redirect/player/7/
145,Mike Adams,RP,34.3,TEX,PHI,2,12000000,6000000,2013,5350,https://www.spotrac.com/redirect/player/5350/
146,Kevin Youkilis,3B,33.7,CHW,NYY,1,12000000,12000000,2013,110,https://www.spotrac.com/redirect/player/110/
147,Jeff Keppinger,3B,32.6,TB,CHW,3,12000000,4000000,2013,219,https://www.spotrac.com/redirect/player/219/
148,Andy Pettitte,SP,40.4,NYY,NYY,1,12000000,12000000,2013,594,https://www.spotrac.com/redirect/player/594/
149,Lance Berkman,DH,36.8,STL,TEX,1,11000000,11000000,2013,368,https://www.spotrac.com/redirect/player/368/
150,Carlos Villanueva,RP,29.0,TOR,TOR,2,10000000,5000000,2013,512,https://www.spotrac.com/redirect/player/512/
151,Kevin Correia,SP,32.2,PIT,MIN,2,10000000,5000000,2013,721,https://www.spotrac.com/redirect/player/721/
152,Mariano Rivera,RP,43.0,NYY,NYY,1,10000000,10000000,2013,596,https://www.spotrac.com/redirect/player/596/
153,Jonny Gomes,LF,32.0,OAK,BOS,2,10000000,5000000,2013,7025,https://www.spotrac.com/redirect/player/7025/
154,Maicer Izturis,2B,32.1,LAA,TOR,3,10000000,3333333,2013,438,https://www.spotrac.com/redirect/player/438/
155,Stephen Drew,2B,29.8,OAK,BOS,1,9500000,9500000,2013,428,https://www.spotrac.com/redirect/player/428/
156,Rod Barajas,C,37.4,PIT,ARI,1,8000000,8000000,2013,905,https://www.spotrac.com/redirect/player/905/
157,Sean Burnett,RP,30.2,WSH,LAA,2,8000000,4000000,2013,5329,https://www.spotrac.com/redirect/player/5329/
158,Joakim Soria,RP,28.5,KC,TEX,2,8000000,4000000,2013,422,https://www.spotrac.com/redirect/player/422/
159,A.J. Pierzynski,C,35.9,CHW,TEX,1,7500000,7500000,2013,188,https://www.spotrac.com/redirect/player/188/
160,Randy Choate,RP,37.2,LAD,STL,3,7500000,2500000,2013,6457,https://www.spotrac.com/redirect/player/6457/
161,Brett Myers,SP,32.3,CHW,CLE,1,7000000,7000000,2013,648,https://www.spotrac.com/redirect/player/648/
162,Jason Grilli,RP,36.0,PIT,PIT,2,6750000,3375000,2013,288,https://www.spotrac.com/redirect/player/288/
163,Joe Saunders,SP,31.5,BAL,SEA,1,6500000,6500000,2013,451,https://www.spotrac.com/redirect/player/451/
164,David Ross,C,35.6,ATL,BOS,2,6200000,3100000,2013,5175,https://www.spotrac.com/redirect/player/5175/
165,Scott Feldman,SP,29.8,TEX,CHC,1,6000000,6000000,2013,5388,https://www.spotrac.com/redirect/player/5388/
166,Joel Peralta,RP,36.6,TB,TB,2,6000000,3000000,2013,419,https://www.spotrac.com/redirect/player/419/
167,Tom Gorzelanny,RP,30.4,WSH,MIL,2,5700000,2850000,2013,698,https://www.spotrac.com/redirect/player/698/
168,Scott Baker,SP,31.1,MIN,CHC,1,5500000,5500000,2013,514,https://www.spotrac.com/redirect/player/514/
169,Scott Hairston,RF,32.6,NYM,CHC,2,5000000,2500000,2013,672,https://www.spotrac.com/redirect/player/672/
170,Mike Napoli,1B,31.2,TEX,BOS,1,5000000,5000000,2013,445,https://www.spotrac.com/redirect/player/445/
